"","area","rooms","suites","bathrooms","parkings","price","neighborhood"
"15337",84,"2","--","2","1",815000,"JP"
"15338",73,"2","--","2","1",750000,"JP"
"15339",165,"3","1","3","1",1400000,"JP"
"15340",360,"4","4","6","3",5e+06,"JP"
"15341",407,"4","4","6","5",8268000,"JP"
"15342",97,"3","1","2","1",1100000,"JP"
"15343",300,"3","2","5","2",3500000,"JP"
"15344",160,"3","1","3","1",1650000,"JP"
"15345",258,"3","3","5","--",4700000,"JP"
"15346",142,"3","--","2","1",1430000,"JP"
"15347",159,"3","1","3","1",1700000,"JP"
"15348",172,"3","1","4","2",1598000,"JP"
"15349",178,"2","2","3","2",2650000,"JP"
"15350",250,"3","1","3","4",2800000,"JP"
"15351",394,"4","3","5","5",6490000,"JP"
"15352",407,"4","4","6","5",8350000,"JP"
"15353",222,"3","3","5","2",2990000,"JP"
"15354",150,"3","1","3","1",1270000,"JP"
"15355",150,"2","1","3","1",1350000,"JP"
"15356",156,"3","3","3","2",2270000,"JP"
"15357",100,"2","--","2","1",905000,"JP"
"15358",142,"3","1","3","1",1370000,"JP"
"15359",293,"4","4","6","5",3700000,"JP"
"15360",270,"4","2","3","4",3250000,"JP"
"15361",278,"4","2","2","4",3200000,"JP"
"15362",115,"2","1","2","1",1340000,"JP"
"15363",155,"3","3","4","2",2160000,"JP"
"15364",210,"3","1","4","3",2700000,"JP"
"15365",310,"3","3","5","3",3300000,"JP"
"15366",80,"2","2","2","1",845000,"JP"
"15367",90,"2","1","3","1",1210000,"JP"
"15368",104,"3","1","3","1",1240000,"JP"
"15369",210,"3","3","4","2",2980000,"JP"
"15370",113,"3","1","1","1",1520000,"JP"
"15371",57,"2","1","2","2",905000,"JP"
"15372",365,"4","2","5","3",4180000,"JP"
"15373",181,"4","1","3","3",2580000,"JP"
"15374",222,"3","1","4","2",2350000,"JP"
"15375",160,"3","2","4","1",1499000,"JP"
"15376",213,"3","1","3","2",2300000,"JP"
"15377",204,"3","2","4","2",4300000,"JP"
"15378",225,"3","3","4","2",2234000,"JP"
"15379",144,"3","1","2","2",1262000,"JP"
"15380",113,"3","1","1","1",1100000,"JP"
"15381",100,"2","--","2","1",1120000,"JP"
"15382",240,"3","1","4","2",1700000,"JP"
"15383",42,"1","1","2","1",720000,"JP"
"15384",74,"2","2","2","1",1619000,"JP"
"15385",176,"3","1","3","1",1950000,"JP"
"15386",192,"3","1","2","1",2090000,"JP"
"15387",123,"3","1","4","1",1100000,"JP"
"15388",113,"3","1","4","1",1420000,"JP"
"15389",130,"3","--","2","1",1150000,"JP"
"15390",176,"3","1","3","2",2389900,"JP"
"15391",149,"3","1","2","1",1690000,"JP"
"15392",335,"4","4","6","4",4900000,"JP"
"15393",120,"3","1","3","1",975000,"JP"
"15394",287,"4","4","5","6",2300000,"JP"
"15395",210,"3","1","2","2",1960000,"JP"
"15396",227,"3","3","5","4",4400000,"JP"
"15397",32,"1","--","1","1",545000,"JP"
"15398",187,"3","1","4","2",1990000,"JP"
"15399",122,"2","1","2","1",9e+05,"JP"
"15400",307,"3","1","3","3",3500000,"JP"
"15401",270,"3","3","5","2",3300000,"JP"
"15402",84,"2","1","2","1",9e+05,"JP"
"15403",360,"4","4","7","4",3600000,"JP"
"15404",227,"3","3","5","4",4400000,"JP"
"15405",107,"3","1","2","2",1510000,"JP"
"15406",120,"2","1","4","1",1490000,"JP"
"15407",290,"4","2","5","3",3300000,"JP"
"15408",395,"4","2","4","4",7900000,"JP"
"15409",105,"3","2","3","2",1450000,"JP"
"15410",216,"4","2","5","3",5051000,"JP"
"15411",140,"3","--","2","1",890000,"JP"
"15412",200,"3","3","3","2",2150000,"JP"
"15413",85,"2","1","2","1",850000,"JP"
"15414",254,"4","3","5","3",3800000,"JP"
"15415",750,"5","3","7","3",1.2e+07,"JP"
"15416",96,"2","2","3","2",1380000,"JP"
"15417",207,"3","1","2","2",2600000,"JP"
"15418",155,"3","3","4","3",1980000,"JP"
"15419",76,"2","--","2","1",660000,"JP"
"15420",195,"4","1","4","2",2780000,"JP"
"15421",237,"3","2","2","2",2500000,"JP"
"15422",247,"3","1","4","2",2630000,"JP"
"15423",230,"4","4","6","4",3e+06,"JP"
"15424",360,"4","4","7","5",7500000,"JP"
"15425",47,"1","1","1","1",730000,"JP"
"15426",504,"4","4","7","5",12500000,"JP"
"15427",225,"3","3","5","2",2990000,"JP"
"15428",55,"2","1","2","1",1280000,"JP"
"15429",172,"3","1","1","2",1600000,"JP"
"15430",136,"3","1","4","1",1500000,"JP"
"15431",62,"2","--","2","1",7e+05,"JP"
"15432",178,"3","1","3","2",2280000,"JP"
"15433",132,"3","1","3","1",1050000,"JP"
"15434",104,"2","1","3","2",2e+06,"JP"
"15435",250,"3","1","3","4",2800000,"JP"
"15436",244,"4","2","4","3",5e+06,"JP"
"15437",81,"2","--","1","--",760000,"JP"
"15438",89,"3","2","4","1",1200000,"JP"
"15439",144,"3","1","3","2",1262000,"JP"
"15440",178,"4","1","4","1",1998000,"JP"
"15441",220,"3","1","2","2",2200000,"JP"
"15442",163,"3","1","3","2",2150000,"JP"
"15443",193,"3","3","4","2",2590000,"JP"
"15444",360,"3","3","5","2",4050000,"JP"
"15445",244,"3","3","5","3",2390000,"JP"
"15446",130,"3","--","2","1",1199000,"JP"
"15447",140,"3","1","4","1",1484000,"JP"
"15448",100,"3","--","3","1",950000,"JP"
"15449",227,"3","3","3","4",4550000,"JP"
"15450",49,"1","--","1","--",550000,"JP"
"15451",175,"3","1","1","1",1350000,"JP"
"15452",170,"3","1","4","2",1490000,"JP"
"15453",102,"2","--","1","1",7e+05,"JP"
"15454",79,"3","2","3","2",930000,"JP"
"15455",80,"3","--","2","--",724000,"JP"
"15456",335,"4","4","5","2",4e+06,"JP"
"15457",57,"2","--","1","2",957500,"JP"
"15458",166,"3","1","3","2",1950000,"JP"
"15459",85,"2","--","2","1",870000,"JP"
"15460",193,"4","2","5","2",2550000,"JP"
"15461",374,"4","3","5","4",6650000,"JP"
"15462",186,"3","1","3","1",1800000,"JP"
"15463",48,"1","1","1","1",660000,"JP"
"15464",76,"2","--","1","1",640000,"JP"
"15465",337,"4","4","5","2",3800000,"JP"
"15466",164,"3","2","4","1",1595000,"JP"
"15467",79,"3","2","3","2",930000,"JP"
"15468",285,"4","2","6","2",3500000,"JP"
"15469",114,"2","--","2","1",750000,"JP"
"15470",79,"3","2","3","2",930000,"JP"
"15471",285,"4","2","6","2",3500000,"JP"
"15472",114,"2","--","2","1",750000,"JP"
"15473",86,"2","1","3","1",818000,"JP"
"15474",92,"2","1","2","1",1200000,"JP"
"15475",70,"2","--","2","1",650000,"JP"
"15476",260,"3","3","5","4",4800000,"JP"
"15477",539,"4","4","7","6",7867000,"JP"
"15478",97,"2","2","3","2",1300000,"JP"
"15479",340,"4","4","4","4",5500000,"JP"
"15480",90,"2","2","3","1",1100000,"JP"
"15481",207,"3","1","3","2",2099000,"JP"
"15482",148,"3","3","5","3",2660000,"JP"
"15483",242,"3","3","5","4",3100000,"JP"
"15484",151,"3","--","3","1",1550000,"JP"
"15485",210,"3","1","3","2",1700000,"JP"
"15486",193,"4","2","4","2",2550000,"JP"
"15487",178,"3","1","3","2",2155000,"JP"
"15488",365,"3","3","4","4",7800000,"JP"
"15489",84,"2","1","2","1",950000,"JP"
"15490",237,"4","1","--","2",1580000,"JP"
"15491",140,"3","1","4","1",1480000,"JP"
"15492",240,"3","1","4","2",1900000,"JP"
"15493",380,"4","4","5","9",7800000,"JP"
"15494",96,"2","--","2","1",1200000,"JP"
"15495",96,"2","2","3","2",1380000,"JP"
"15496",194,"4","4","4","3",2447000,"JP"
"15497",228,"3","3","5","4",4477700,"JP"
"15498",190,"3","3","4","4",5e+06,"JP"
"15499",295,"3","3","3","4",2600000,"JP"
"15500",156,"3","3","4","2",2190000,"JP"
"15501",190,"3","3","5","4",4800000,"JP"
"15502",81,"2","--","1","--",780000,"JP"
"15503",178,"3","1","3","2",2150000,"JP"
"15504",345,"4","1","4","2",2800000,"JP"
"15505",75,"2","--","2","1",8e+05,"JP"
"15506",114,"2","--","2","1",750000,"JP"
"15507",210,"3","2","5","2",2150000,"JP"
"15508",86,"3","1","2","1",954000,"JP"
"15509",69,"2","--","1","1",950000,"JP"
"15510",160,"3","1","2","2",2300000,"JP"
"15511",180,"3","3","4","2",2600000,"JP"
"15512",176,"3","1","2","1",1900000,"JP"
"15513",145,"3","1","3","1",1900000,"JP"
"15514",176,"4","4","4","3",1970000,"JP"
"15515",575,"5","4","6","8",8900000,"JP"
"15516",39,"1","1","1","1",450000,"JP"
"15517",293,"3","3","5","3",3140000,"JP"
"15518",209,"3","3","5","3",2400000,"JP"
"15519",123,"3","1","2","1",1589000,"JP"
"15520",212,"3","1","3","2",2100000,"JP"
"15521",48,"1","1","1","1",7e+05,"JP"
"15522",116,"3","1","3","1",1118000,"JP"
"15523",94,"2","1","2","--",870000,"JP"
"15524",160,"2","2","3","2",3500000,"JP"
"15525",510,"3","2","3","3",6150000,"JP"
"15526",552,"4","4","5","5",9500000,"JP"
"15527",348,"4","4","6","4",3800000,"JP"
"15528",33,"1","--","1","--",524700,"JP"
"15529",160,"3","2","3","2",2150000,"JP"
"15530",165,"3","2","4","1",1595000,"JP"
"15531",300,"4","2","5","2",3500000,"JP"
"15532",176,"3","1","3","1",1500000,"JP"
"15533",160,"3","1","3","1",1719000,"JP"
"15534",183,"3","1","4","2",2148000,"JP"
"15535",116,"3","1","1","1",1150000,"JP"
"15536",190,"3","1","3","1",1998000,"JP"
"15537",131,"3","3","4","2",2e+06,"JP"
"15538",178,"3","2","4","1",2150000,"JP"
"15539",208,"3","2","4","2",2500000,"JP"
"15540",283,"3","3","5","3",4450000,"JP"
"15541",186,"3","1","3","1",1590000,"JP"
"15542",186,"3","1","3","1",1590000,"JP"
"15543",80,"2","2","2","1",845000,"JP"
"15544",61,"2","--","2","1",7e+05,"JP"
"15545",28,"1","--","1","1",419900,"JP"
"15546",105,"3","1","2","1",1250000,"JP"
"15547",76,"2","1","1","--",8e+05,"JP"
"15548",249,"3","3","5","2",3390000,"JP"
"15549",163,"3","1","3","1",1570000,"JP"
"15550",76,"2","1","2","1",1170000,"JP"
"15551",130,"3","--","2","1",1150000,"JP"
"15552",132,"3","1","3","1",1690000,"JP"
"15553",600,"4","4","6","5",9500000,"JP"
"15554",75,"3","1","3","2",965000,"JP"
"15555",89,"2","1","3","--",880000,"JP"
"15556",136,"3","--","3","1",1150000,"JP"
"15557",276,"3","2","3","2",2100000,"JP"
"15558",97,"2","--","1","--",880000,"JP"
"15559",307,"3","1","3","3",3500000,"JP"
"15560",82,"2","1","2","1",849000,"JP"
"15561",125,"3","1","2","2",1450000,"JP"
"15562",178,"3","2","4","1",2150000,"JP"
"15563",270,"2","2","4","2",4e+06,"JP"
"15564",121,"3","1","2","1",1500000,"JP"
"15565",132,"3","1","3","1",1590000,"JP"
"15566",227,"4","4","6","4",4400000,"JP"
"15567",27,"1","1","1","--",479000,"JP"
"15568",272,"4","2","2","3",3200000,"JP"
"15569",200,"3","1","2","1",1900000,"JP"
"15570",168,"4","1","2","2",2130000,"JP"
"15571",45,"1","--","1","1",860000,"JP"
"15572",370,"4","4","6","4",4600000,"JP"
"15573",235,"4","1","3","2",1800000,"JP"
"15574",123,"3","1","4","2",1500000,"JP"
"15575",240,"3","2","5","2",4900000,"JP"
"15576",178,"3","1","4","2",2290000,"JP"
"15577",283,"3","3","5","3",4500000,"JP"
"15578",181,"3","1","4","1",1350000,"JP"
"15579",680,"4","4","6","2",6800000,"JP"
"15580",278,"4","2","5","3",3300000,"JP"
